MTU,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:00 - 10:00,341,n/e,n/e,n/e,2020,15,190,n/e,n/e,n/e,924,,5748,2333,n/e,44449,n/e,n/e,281,92,568,15712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00 - 11:00,342,n/e,n/e,n/e,2039,16,191,n/e,n/e,n/e,1840,,5916,2356,n/e,44788,n/e,n/e,611,91,568,15932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00 - 12:00,342,n/e,n/e,n/e,2010,15,191,n/e,n/e,n/e,1826,,5855,2294,n/e,45383,n/e,n/e,1346,89,568,16293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 13:00,342,n/e,n/e,n/e,2000,16,191,n/e,n/e,n/e,2262,,5877,2260,n/e,45568,n/e,n/e,1971,91,568,16462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00 - 14:00,343,n/e,n/e,n/e,2022,16,191,n/e,n/e,n/e,2258,,5760,2226,n/e,45557,n/e,n/e,2175,91,560,16553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00 - 15:00,342,n/e,n/e,n/e,1993,16,191,n/e,n/e,n/e,1989,,5704,2677,n/e,45621,n/e,n/e,2242,90,562,16784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00 - 16:00,342,n/e,n/e,n/e,1983,16,191,n/e,n/e,n/e,1408,,5690,2615,n/e,45624,n/e,n/e,1832,89,563,16765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00 - 17:00,342,n/e,n/e,n/e,1970,16,191,n/e,n/e,n/e,730,,5690,2605,n/e,45663,n/e,n/e,1063,90,561,16673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00 - 18:00,343,n/e,n/e,n/e,2013,16,191,n/e,n/e,n/e,,27,5874,2143,n/e,46161,n/e,n/e,484,93,564,16576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18:00 - 19:00,342,n/e,n/e,n/e,2020,16,190,n/e,n/e,n/e,427,,5994,2283,n/e,46137,n/e,n/e,236,93,567,16276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19:00 - 20:00,342,n/e,n/e,n/e,2019,16,188,n/e,n/e,n/e,2106,,6234,2722,n/e,46189,n/e,n/e,0,92,568,16187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20:00 - 21:00,342,n/e,n/e,n/e,2034,15,188,n/e,n/e,n/e,3270,,6277,2778,n/e,46399,n/e,n/e,0,93,568,15963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21:00 - 22:00,343,n/e,n/e,n/e,2023,15,188,n/e,n/e,n/e,1458,,6181,2574,n/e,46327,n/e,n/e,0,92,568,16114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22:00 - 23:00,342,n/e,n/e,n/e,2032,15,190,n/e,n/e,n/e,,1117,5567,1746,n/e,45327,n/e,n/e,0,94,568,16290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23:00 - 00:00,342,n/e,n/e,n/e,2027,15,189,n/e,n/e,n/e,,2042,5413,1780,n/e,44678,n/e,n/e,0,96,567,16064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.01.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:00 - 01:00,342,n/e,n/e,n/e,2016,15,190,n/e,n/e,n/e,,2425,5321,1598,n/e,43408,n/e,n/e,0,96,568,16124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:00 - 02:00,342,n/e,n/e,n/e,2025,15,190,n/e,n/e,n/e,,2083,5270,1349,n/e,43383,n/e,n/e,0,97,568,16055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:00 - 03:00,342,n/e,n/e,n/e,2023,15,190,n/e,n/e,n/e,,2153,5118,1249,n/e,42570,n/e,n/e,0,97,567,14970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
